fold,t,n_essential_group,coverage,pos_coverage,neg_coverage,Accuracy
1,0.1,0,0.5349,0.0,0.8583808071892802,0.6773228640867451
2,0.1,0,0.63275,0.00014742739200943535,0.9574033441779526,0.7033583563808771
3,0.1,0,0.6093,0.00048638132295719845,0.8807836899942163,0.6942392909896603
4,0.1,0,0.6345,0.0007713668620796051,0.9383784583518272,0.5983451536643026
5,0.1,0,0.6249,0.0001431229426077,0.9603473449627296,0.7007521203392543
1,0.1,>=1,0.3221,0.854716730794746,0.0,0.43666563179136914
2,0.1,>=1,0.3231,0.9526758071649712,0.0,0.46363354998452494
3,0.1,>=1,0.26755,0.8675421530479897,0.0,0.3894599140347599
4,0.1,>=1,0.30425,0.9387534711508794,0.0,0.5002465078060805
5,0.1,>=1,0.33255,0.9519106912838128,0.0,0.419936851601263
1,0.2,0,0.44125,0.0,0.7080959640535986,0.705042492917847
2,0.2,0,0.60045,0.00014742739200943535,0.9085268971778769,0.713881255724873
3,0.2,0,0.52035,0.00032425421530479895,0.7522411798727588,0.7183626405304122
4,0.2,0,0.59115,0.0007713668620796051,0.8742417517384229,0.6035693140488878
5,0.2,0,0.5967,0.0001431229426077,0.9170060708522247,0.707642031171443
1,0.2,>=1,0.26335,0.6988191588165052,0.0,0.4254794000379723
2,0.2,>=1,0.3068,0.9046144773698953,0.0,0.46235332464146023
3,0.2,>=1,0.2235,0.7247081712062257,0.0,0.37472035794183445
4,0.2,>=1,0.2803,0.8648565257636532,0.0,0.49910809846592935
5,0.2,>=1,0.3142,0.8993845713467868,0.0,0.4156588160407384
1,0.3,0,0.3348,0.0,0.537270320147637,0.7467144563918757
2,0.3,0,0.5598,0.00014742739200943535,0.8470152076870697,0.7243658449446231
3,0.3,0,0.4162,0.00016212710765239947,0.6017206477732794,0.7465160980297934
4,0.3,0,0.53525,0.000617093489663684,0.7916111850865513,0.6100887435777674
5,0.3,0,0.56255,0.0001431229426077,0.864520095289326,0.716291885165763
1,0.3,>=1,0.19755,0.5242138782008757,0.0,0.40217666413566183
2,0.3,>=1,0.28735,0.847265221878225,0.0,0.4553680180963981
3,0.3,>=1,0.17495,0.5672827496757458,0.0,0.35495855958845385
4,0.3,>=1,0.25245,0.7789262573279851,0.0,0.5018815607050902
5,0.3,>=1,0.2932,0.8392729354515529,0.0,0.4116643929058663
1,0.4,0,0.1979,0.0,0.3175800369092514,0.8153107630116221
2,0.4,0,0.50255,0.00014742739200943535,0.7603843534841492,0.7431101382946971
3,0.4,0,0.27195,0.00016212710765239947,0.3931463273568537,0.7995955138812282
4,0.4,0,0.4566,0.00046282011724776306,0.6753217931646693,0.6274638633377135
5,0.4,0,0.5137,0.0,0.7895181741335587,0.7306793848549737
1,0.4,>=1,0.106,0.2812790234841449,0.0,0.3306603773584906
2,0.4,>=1,0.2558,0.7542385375202713,0.0,0.44898358092259577
3,0.4,>=1,0.10695,0.3467898832684825,0.0,0.29873772791023845
4,0.4,>=1,0.20985,0.6474853440296204,0.0,0.49988086728615677
5,0.4,>=1,0.26185,0.749534850436525,0.0,0.4082489975176628
